Source;Target;Type;id;weight
267;11;Undirected;201;0.0025
268;269;Undirected;202;0.0025
270;11;Undirected;203;0.0025
271;272;Undirected;204;0.0025
165;198;Undirected;205;0.0025
111;11;Undirected;206;0.005
273;274;Undirected;207;0.0025
11;275;Undirected;208;0.0025
151;276;Undirected;209;0.0025
6;277;Undirected;210;0.0025
6;9;Undirected;211;0.0025
278;279;Undirected;212;0.0075
6;280;Undirected;213;0.0025
11;281;Undirected;214;0.0025
282;283;Undirected;215;0.0075
11;284;Undirected;216;0.0025
111;121;Undirected;217;0.005
285;11;Undirected;218;0.0025
6;286;Undirected;219;0.005
287;11;Undirected;220;0.0025
11;288;Undirected;221;0.0025
289;6;Undirected;222;0.0025
290;291;Undirected;223;0.0025
292;11;Undirected;224;0.0025
293;294;Undirected;225;0.005
295;296;Undirected;226;0.005
297;298;Undirected;227;0.0025
5;97;Undirected;228;0.0025
156;93;Undirected;229;0.0025
299;11;Undirected;230;0.0025
300;301;Undirected;231;0.005
36;302;Undirected;232;0.0025
288;303;Undirected;233;0.0025
304;305;Undirected;234;0.005
306;307;Undirected;235;0.0025
308;288;Undirected;236;0.0025
309;255;Undirected;237;0.0025
63;310;Undirected;238;0.0025
311;312;Undirected;239;0.0025
72;313;Undirected;240;0.0025
314;237;Undirected;241;0.0025
315;316;Undirected;242;0.0075
317;318;Undirected;243;0.0025
319;6;Undirected;244;0.0025
320;11;Undirected;245;0.0025
321;286;Undirected;246;0.0025
11;303;Undirected;247;0.0025
322;323;Undirected;248;0.0025
324;49;Undirected;249;0.0025
6;313;Undirected;250;0.005
258;11;Undirected;251;0.0025
11;325;Undirected;252;0.01
326;327;Undirected;253;0.0025
328;329;Undirected;254;0.0025
330;6;Undirected;255;0.0025
331;187;Undirected;256;0.0025
332;333;Undirected;257;0.0025
115;334;Undirected;258;0.0025
6;335;Undirected;259;0.0025
11;336;Undirected;260;0.0025
334;115;Undirected;261;0.0025
337;133;Undirected;262;0.005
113;338;Undirected;263;0.0025
339;121;Undirected;264;0.0025
11;340;Undirected;265;0.0025
341;13;Undirected;266;0.0025
4;342;Undirected;267;0.0025
13;343;Undirected;268;0.0025
315;344;Undirected;269;0.0075
11;345;Undirected;270;0.0025
346;192;Undirected;271;0.0025
127;11;Undirected;272;0.005
347;6;Undirected;273;0.0025
178;348;Undirected;274;0.0025
10;6;Undirected;275;0.0025
349;3;Undirected;276;0.0025
6;350;Undirected;277;0.0025
351;299;Undirected;278;0.0025
224;352;Undirected;279;0.0025
141;11;Undirected;280;0.0025
353;354;Undirected;281;0.0625
60;355;Undirected;282;0.0025
356;254;Undirected;283;0.0025
23;357;Undirected;284;0.0025
358;359;Undirected;285;0.0025
360;81;Undirected;286;0.0025
361;70;Undirected;287;0.0025
286;362;Undirected;288;0.0025
363;363;Undirected;289;0.0025
6;219;Undirected;290;0.0025
364;6;Undirected;291;0.0025
117;257;Undirected;292;0.0025
360;365;Undirected;293;0.0025
366;167;Undirected;294;0.0025
367;11;Undirected;295;0.0025
368;310;Undirected;296;0.0025
369;124;Undirected;297;0.0025
370;286;Undirected;298;0.0025
165;371;Undirected;299;0.0025
209;286;Undirected;300;0.0025
279;80;Undirected;301;0.0125
372;373;Undirected;302;0.0025
374;116;Undirected;303;0.0025
38;6;Undirected;304;0.0025
375;376;Undirected;305;0.0025
6;377;Undirected;306;0.0025
6;378;Undirected;307;0.0025
292;379;Undirected;308;0.0025
380;381;Undirected;309;0.0025
382;132;Undirected;310;0.0025
383;243;Undirected;311;0.0025
133;6;Undirected;312;0.005
6;254;Undirected;313;0.005
49;384;Undirected;314;0.0025
100;22;Undirected;315;0.0025
369;67;Undirected;316;0.0025
385;11;Undirected;317;0.0025
386;340;Undirected;318;0.0025
301;11;Undirected;319;0.005
122;343;Undirected;320;0.0025
23;105;Undirected;321;0.0025
85;387;Undirected;322;0.0025
388;97;Undirected;323;0.0025
258;127;Undirected;324;0.0025
389;115;Undirected;325;0.0025
97;11;Undirected;326;0.015
6;390;Undirected;327;0.0025
259;307;Undirected;328;0.0025
391;6;Undirected;329;0.0025
11;45;Undirected;330;0.0025
392;116;Undirected;331;0.0025
393;394;Undirected;332;0.0025
133;11;Undirected;333;0.005
208;6;Undirected;334;0.0075
97;97;Undirected;335;0.0025
395;396;Undirected;336;0.0025
11;397;Undirected;337;0.0025
175;398;Undirected;338;0.0025
399;11;Undirected;339;0.0025
322;304;Undirected;340;0.0025
175;11;Undirected;341;0.0025
400;401;Undirected;342;0.0025
11;402;Undirected;343;0.0025
122;403;Undirected;344;0.0025
404;385;Undirected;345;0.0025
405;304;Undirected;346;0.0025
354;406;Undirected;347;0.065
407;378;Undirected;348;0.0025
262;48;Undirected;349;0.0025
408;409;Undirected;350;0.0025
410;23;Undirected;351;0.0025
26;121;Undirected;352;0.0025
411;219;Undirected;353;0.0025
233;357;Undirected;354;0.0025
6;281;Undirected;355;0.0025
130;266;Undirected;356;0.0025
412;413;Undirected;357;0.0025
414;415;Undirected;358;0.005
416;417;Undirected;359;0.0025
182;418;Undirected;360;0.0025
419;6;Undirected;361;0.0025
420;187;Undirected;362;0.0025
421;402;Undirected;363;0.0025
33;118;Undirected;364;0.0025
422;423;Undirected;365;0.0025
24;199;Undirected;366;0.0025
424;262;Undirected;367;0.0025
151;299;Undirected;368;0.0025
300;425;Undirected;369;0.005
426;242;Undirected;370;0.0025
104;371;Undirected;371;0.0025
420;169;Undirected;372;0.0025
31;149;Undirected;373;0.0025
427;6;Undirected;374;0.0025
286;4;Undirected;375;0.0025
428;24;Undirected;376;0.0025
429;430;Undirected;377;0.0025
337;6;Undirected;378;0.005
431;11;Undirected;379;0.0025
370;11;Undirected;380;0.0025
432;6;Undirected;381;0.0025
