Source;Target;Type;id;weight
1;2;Undirected;1;0.00261780104712
3;4;Undirected;2;0.00130890052356
5;6;Undirected;3;0.00130890052356
7;8;Undirected;4;0.00130890052356
9;10;Undirected;5;0.00130890052356
11;12;Undirected;6;0.00130890052356
13;14;Undirected;7;0.00130890052356
15;16;Undirected;8;0.00130890052356
17;18;Undirected;9;0.00130890052356
19;20;Undirected;10;0.00130890052356
21;22;Undirected;11;0.00130890052356
23;24;Undirected;12;0.00130890052356
25;26;Undirected;13;0.0130890052356
27;14;Undirected;14;0.00130890052356
28;29;Undirected;15;0.00130890052356
15;30;Undirected;16;0.00130890052356
14;31;Undirected;17;0.00261780104712
32;33;Undirected;18;0.00130890052356
34;35;Undirected;19;0.00130890052356
36;37;Undirected;20;0.00130890052356
38;1;Undirected;21;0.00261780104712
39;40;Undirected;22;0.00130890052356
41;14;Undirected;23;0.00130890052356
42;43;Undirected;24;0.00130890052356
44;45;Undirected;25;0.00130890052356
46;47;Undirected;26;0.00130890052356
14;48;Undirected;27;0.00130890052356
49;50;Undirected;28;0.00130890052356
51;52;Undirected;29;0.00130890052356
53;15;Undirected;30;0.00130890052356
15;54;Undirected;31;0.00130890052356
55;56;Undirected;32;0.00130890052356
57;58;Undirected;33;0.00130890052356
26;59;Undirected;34;0.00130890052356
60;60;Undirected;35;0.00130890052356
61;62;Undirected;36;0.00130890052356
63;29;Undirected;37;0.00130890052356
64;65;Undirected;38;0.00261780104712
66;67;Undirected;39;0.00130890052356
14;68;Undirected;40;0.00130890052356
69;70;Undirected;41;0.00130890052356
71;26;Undirected;42;0.00130890052356
15;72;Undirected;43;0.00130890052356
73;74;Undirected;44;0.00130890052356
75;76;Undirected;45;0.00130890052356
47;77;Undirected;46;0.00130890052356
78;79;Undirected;47;0.00130890052356
14;80;Undirected;48;0.00130890052356
15;81;Undirected;49;0.00130890052356
82;14;Undirected;50;0.00130890052356
83;15;Undirected;51;0.00261780104712
84;85;Undirected;52;0.00130890052356
47;86;Undirected;53;0.00130890052356
14;87;Undirected;54;0.00130890052356
88;89;Undirected;55;0.00130890052356
90;91;Undirected;56;0.00130890052356
92;93;Undirected;57;0.00130890052356
94;61;Undirected;58;0.00130890052356
14;30;Undirected;59;0.00130890052356
79;95;Undirected;60;0.00261780104712
